City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,90,US,1575520209,86,42.65,-73.75,32,1.34
Cessnock,0,AU,1575520209,16,-32.83,151.35,91.4,16.11
Atuona,21,PF,1575520209,73,-9.8,-139.03,80.08,12.97
Kikwit,95,CD,1575520209,87,-5.04,18.82,73.02,1.52
Ushuaia,75,AR,1575520210,75,-54.81,-68.31,44.6,28.86
Sao Miguel do Araguaia,68,BR,1575520210,94,-13.28,-50.16,73.02,2.37
Cabo San Lucas,5,MX,1575520153,82,22.89,-109.91,72,5.82
College,1,US,1575520210,83,64.86,-147.8,-5.8,1.19
Nueva Guinea,6,NI,1575520210,97,11.69,-84.46,70.81,7.34
Marsh Harbour,7,BS,1575520210,54,26.54,-77.06,69.17,12.33
Mjolby,93,SE,1575520210,81,58.33,15.12,44.6,18.34
Desaguadero,100,PE,1575520210,70,-16.56,-69.04,48.13,4.59
Sabang,100,PH,1575520210,84,13.8,121.11,82.99,3
Tuktoyaktuk,90,CA,1575520210,84,69.44,-133.03,-0.4,34.45
Puerto Ayora,21,EC,1575520210,89,-0.74,-90.35,72,3
Busselton,0,AU,1575520210,39,-33.64,115.35,82.09,14.12
Meulaboh,1,ID,1575520210,70,4.14,96.13,82.65,3.36
Bluff,0,AU,1575520210,16,-23.58,149.07,98.62,3.22
Lisakovsk,100,KZ,1575520133,95,52.55,62.49,22.86,10.36
Punta Arenas,20,CL,1575519959,70,-53.16,-70.91,46.4,39.15
Mataura,60,NZ,1575520211,61,-46.19,168.86,59,11.99
Port Alfred,9,ZA,1575520211,68,-33.59,26.89,64,1.01
Kapaa,40,US,1575520211,83,22.08,-159.32,77,10.29
Jamestown,0,AU,1575520211,13,-33.21,138.6,82.72,15.86
Pacific Grove,1,US,1575520211,93,36.62,-121.92,55.99,4.7
Tasiilaq,0,GL,1575520211,57,65.61,-37.64,19.4,3.36
Lebu,94,ET,1575520211,75,8.96,38.73,58.33,3.69
Bethel,1,US,1575520211,84,60.79,-161.76,6.8,9.17
Vila Velha,40,BR,1575520211,74,-3.71,-38.6,81,12.75
Hlatikulu,100,SZ,1575520211,86,-26.97,31.33,56.62,3.67
Pimenta Bueno,76,BR,1575520211,89,-11.68,-61.19,73.76,1.19
Rocha,31,UY,1575519986,82,-34.48,-54.34,57.04,6.46
Muros,20,ES,1575520211,87,42.77,-9.06,54,10.29
Port Elizabeth,75,US,1575520211,86,39.31,-74.98,39,3.36
Rikitea,10,PF,1575520211,80,-23.12,-134.97,79.47,3.22
Rome,100,IT,1575519973,65,41.89,12.48,52,5.82
Dunedin,100,NZ,1575520115,72,-45.87,170.5,56.37,10.42
Gari,96,RU,1575520212,94,59.43,62.35,12.06,5.46
Capannori,99,IT,1575520212,75,43.84,10.57,45,16.11
Gamba,26,CN,1575520212,8,28.28,88.52,27.09,4.32
Mahebourg,40,MU,1575520212,78,-20.41,57.7,82,12.75
Nikolskoye,90,RU,1575520212,93,59.7,30.79,37.99,11.18
Coihaique,46,CL,1575520151,81,-45.58,-72.07,46.4,2.24
Ancud,90,CL,1575520212,81,-41.87,-73.83,51.8,5.82
Salinopolis,1,BR,1575520213,77,-0.61,-47.36,81.82,16.58
Buraydah,20,SA,1575520269,87,26.33,43.97,53.6,10.29
Pisco,95,PE,1575520269,82,-13.71,-76.2,68,11.41
Kishtwar,0,IN,1575520269,42,33.31,75.77,32.09,2.98
Upernavik,100,GL,1575520270,74,72.79,-56.15,11.97,10.92
Qaanaaq,66,GL,1575520270,54,77.48,-69.36,-2.58,5.21
Natal,76,BR,1575520270,83,-5.81,-35.21,78.8,6.93
Victoria,75,BN,1575520212,74,5.28,115.24,84.2,1.12
Saint George,90,GR,1575520270,93,39.45,22.34,44.6,5.82
Saint-Philippe,90,CA,1575520270,100,45.36,-73.48,32,3.36
Faanui,68,PF,1575520270,75,-16.48,-151.75,82.08,9.66
Jalu,40,LY,1575520270,45,29.03,21.55,58.23,8.52
Arraial do Cabo,99,BR,1575520270,86,-22.97,-42.02,73.62,32.26
Athabasca,84,CA,1575520270,96,54.72,-113.29,11.82,3.29
Antsohihy,43,MG,1575520270,48,-14.88,47.99,89.85,4.43
Yellowknife,75,CA,1575520270,74,62.45,-114.38,-22,3.36
Carnarvon,0,ZA,1575520270,44,-30.97,22.13,64.24,18.86
Okha,100,RU,1575520270,90,53.59,142.95,13.57,25.14
Butaritari,100,KI,1575520270,74,3.07,172.79,84.47,8.46
Paita,83,PE,1575520270,81,-5.09,-81.11,69.89,7.16
Ereymentau,70,KZ,1575520270,90,51.62,73.1,32.5,17.87
Vaini,0,IN,1575520270,78,15.34,74.49,71.6,9.17
Lamar,1,US,1575520271,85,38.09,-102.62,21.2,3.36
Bambous Virieux,40,MU,1575520271,78,-20.34,57.76,82,12.75
Hilo,1,US,1575519871,83,19.71,-155.08,73.4,6.22
Umm Bab,1,QA,1575520271,67,25.21,50.81,60.8,5.82
Taoudenni,0,ML,1575520271,41,22.68,-3.98,52.86,1.81
Honningsvag,100,NO,1575520271,86,70.98,25.97,33.8,12.75
Magadan,99,RU,1575520271,77,59.56,150.8,-0.89,15.43
Ambon,90,FR,1575520271,85,47.55,-2.56,34,3.36
Lumeje,99,AO,1575520271,91,-11.56,20.78,67.06,4.97
Cape Town,0,ZA,1575520036,76,-33.93,18.42,61,4.7
Tacana,7,AR,1575520271,63,-28.63,-65.59,52.03,4.47
Ponta do Sol,100,BR,1575520271,97,-20.63,-46,67.23,8.05
Bukachacha,38,RU,1575520271,76,52.99,116.91,-11.18,4.27
Arman,94,RU,1575520271,96,59.7,150.17,2.91,27.63
Sebastian,1,US,1575520200,81,27.82,-80.47,55.99,4.7
Manakara,47,MG,1575520271,62,-22.14,48.01,84.67,5.99
Emerald,0,AU,1575520272,16,-23.53,148.16,102,8.05
Esperance,81,AU,1575520272,56,-33.86,121.89,73.4,12.75
Ilulissat,0,GL,1575520272,60,69.22,-51.1,10.4,21.92
Clyde River,90,CA,1575520272,82,70.47,-68.59,-16.6,8.05
Matagami,1,NG,1575520272,34,9.67,8.4,68.49,4.99
Mao,40,DO,1575520272,100,19.55,-71.08,75.99,8.05
Oinacu,0,RO,1575520272,92,43.96,26.02,30,6.93
Constitucion,0,MX,1575520272,39,23.99,-104.67,57.22,1.81
Castro,90,CL,1575520329,81,-42.48,-73.76,51.8,5.82
Bambanglipuro,77,ID,1575520329,53,-7.95,110.28,89.13,11.34
Lorengau,54,PG,1575520329,67,-2.02,147.27,85.17,3.2
Bayir,52,TR,1575520204,61,37.27,28.22,48.2,6.93
Hirara,75,JP,1575520329,88,24.8,125.28,62.6,18.34
Hithadhoo,48,MV,1575520330,77,-0.6,73.08,83.17,10.49
Sobolevo,100,RU,1575520330,95,54.43,31.9,36.82,10.65
Avarua,32,CK,1575520330,74,-21.21,-159.78,80.6,8.05
Trinidad,71,BO,1575520330,94,-14.83,-64.9,73.78,2.62
Havelock,1,US,1575520169,70,34.88,-76.9,50,8.05
New Norfolk,75,AU,1575520330,39,-42.78,147.06,62.6,20.8
Karlskrona,74,SE,1575520330,87,56.16,15.59,42.8,8.05
Ferrol,90,ES,1575520330,93,43.48,-8.23,54,1.12
Morondava,4,MG,1575520330,30,-20.3,44.28,97.41,2.08
East London,8,ZA,1575520330,67,-33.02,27.91,60.8,5.82
Banda Aceh,86,ID,1575520330,75,5.56,95.32,82.06,7.49
Los Llanos de Aridane,4,ES,1575520330,59,28.66,-17.92,64.4,27.51
Yar-Sale,95,RU,1575520330,95,66.83,70.83,6.87,9.19
Russell,1,US,1575520099,69,38.9,-98.86,41,8.05
Husavik,100,CA,1575520330,95,50.56,-96.99,23.7,4.56
Kavieng,3,PG,1575520330,70,-2.57,150.8,84.83,8.32
Dikson,100,RU,1575520330,97,73.51,80.55,-5.1,5.86
Baykit,76,RU,1575520330,96,61.68,96.39,-0.71,2.48
Boa Vista,0,BR,1575520330,74,2.82,-60.67,80.6,5.82
Guerrero Negro,100,MX,1575520331,55,27.97,-114.04,66.34,4.23
Christchurch,45,NZ,1575520331,27,-43.53,172.64,75.99,17.22
Lae,40,PG,1575520331,49,-6.72,146.98,93.2,14.99
Salta,90,AR,1575520331,93,-24.79,-65.41,59,1.79
Norman Wells,75,CA,1575520331,73,65.28,-126.83,-34.6,2.89
Lake City,90,US,1575520331,69,38.03,-107.32,37.4,8.14
Osorno,94,CL,1575520331,95,-40.57,-73.14,48.36,5.61
Mount Isa,2,AU,1575520331,6,-20.73,139.49,100.4,10.29
Nyuksenitsa,83,RU,1575520331,96,60.41,44.24,20.75,5.06
Bozovici,1,RO,1575520331,64,44.93,22,35.6,21.92
Cayenne,90,GF,1575520204,83,4.94,-52.33,80.6,4.7
Vila Franca do Campo,40,PT,1575520331,67,37.72,-25.43,57.2,4.7
Abu Zabad,0,SD,1575520331,24,12.35,29.25,69.48,15.43
Chokurdakh,100,RU,1575520331,93,70.62,147.9,-12.87,11.52
Khatanga,0,RU,1575520331,80,71.98,102.47,-28.88,9.95
Consolacion del Sur,16,CU,1575520332,80,22.5,-83.51,63.52,1.61
Katsuura,75,JP,1575520332,40,33.93,134.5,53.6,16.11
Umea,99,SE,1575520150,93,63.83,20.26,35.6,6.93
Semme,0,FR,1575520332,70,46.2,1.5,44.6,6.93
Hermanus,0,ZA,1575520389,72,-34.42,19.24,62.01,13
Alyangula,0,AU,1575520389,30,-13.85,136.42,95,9.17
Thompson,75,CA,1575520212,84,55.74,-97.86,6.8,6.93
Georgetown,24,GY,1575520389,94,6.8,-58.16,75.2,2.24
Palora,97,EC,1575520389,96,-1.7,-77.97,63.68,3.29
Phuket,20,TH,1575520200,58,7.89,98.4,86,10.29
Mont-Joli,75,CA,1575520390,68,48.58,-68.19,26.6,8.05
Mar del Plata,0,AR,1575520390,56,-46.43,-67.52,57.61,17.52
Codrington,0,AU,1575520390,15,-28.95,153.24,95,14.99
General Roca,77,AR,1575520390,29,-39.03,-67.58,66.2,5.82
Barrow,30,AR,1575520390,92,-38.31,-60.23,45.05,6.06
Zaragoza,26,SV,1575520390,94,13.59,-89.29,77,6.82
